,rule,precision,recall
68,"[Rule(attribute='Pclass', value=1.0), Rule(attribute='Sex', value=1.0), Rule(attribute='Parch', value=0.0), Rule(attribute='SibSp', value=1.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Age', value=2.0)]",1.0,0.010660980810234541
69,"[Rule(attribute='Pclass', value=1.0), Rule(attribute='Sex', value=1.0), Rule(attribute='Age', value=1.0), Rule(attribute='Parch', value=1.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Fare', value=0.0)]",1.0,0.008620689655172414
70,"[Rule(attribute='Parch', value=1.0), Rule(attribute='SibSp', value=2.0), Rule(attribute='Pclass', value=2.0), Rule(attribute='Age', value=0.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Embarked', value=0.0), Rule(attribute='Sex', value=0.0)]",1.0,0.0106951871657754
71,"[Rule(attribute='Sex', value=1.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Age', value=0.0), Rule(attribute='SibSp', value=0.0)]",0.9493670886075949,0.16304347826086957
72,"[Rule(attribute='Embarked', value=1.0), Rule(attribute='Parch', value=0.0), Rule(attribute='SibSp', value=1.0), Rule(attribute='Sex', value=0.0), Rule(attribute='Age', value=1.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Pclass', value=2.0)]",1.0,0.016574585635359115
73,"[Rule(attribute='Age', value=1.0), Rule(attribute='Sex', value=1.0), Rule(attribute='Pclass', value=1.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Fare', value=0.0), Rule(attribute='SibSp', value=0.0)]",0.925,0.09610389610389611
74,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=0.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='SibSp', value=0.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Age', value=2.0)]",1.0,0.017142857142857144
75,"[Rule(attribute='Sex', value=1.0), Rule(attribute='Age', value=2.0), Rule(attribute='Pclass', value=1.0), Rule(attribute='SibSp', value=1.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Fare', value=0.0)]",1.0,0.011494252873563218
76,"[Rule(attribute='Sex', value=1.0), Rule(attribute='Age', value=2.0), Rule(attribute='Fare', value=1.0), Rule(attribute='Pclass', value=0.0)]",1.0,0.011627906976744186
77,"[Rule(attribute='Sex', value=1.0), Rule(attribute='Age', value=1.0), Rule(attribute='Pclass', value=2.0), Rule(attribute='SibSp', value=1.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Embarked', value=2.0)]",0.9444444444444444,0.05
